path,true_label,pred_label
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\漂砾灰岩\16ZL139m1-_part_1.png,Floatstone,Intraclast
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\漂砾灰岩\16ZL169m1-_part_2.png,Floatstone,Intraclast
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\漂砾灰岩\665.png,Floatstone,Intraclast
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\12LS08m1-_part_1.png,Packstone,Mudstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\12LS14m1-_part_1.png,Packstone,Mudstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\12LS14m1-_part_3.png,Packstone,Mudstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\12LS49m1-_part_2.png,Packstone,Mudstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\12LS55m1-_part_1.png,Packstone,Floatstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\12LS64m1-_part_3.png,Packstone,Grainstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\13TC86m1+_part_3.png,Packstone,Mudstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\13WL151m1+_part_2.png,Packstone,Mudstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\13WL18m1+_part_1.png,Packstone,Mudstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\14NV157m1+_part_1.png,Packstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\14NV168m2+_part_2.png,Packstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\15QM59 -2.5_part_2.png,Packstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\16BE85 -2.5_part_2.png,Packstone,Mudstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\16BK05 -5_part_1.png,Packstone,Mudstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\16BK42 -2.5_part_1.png,Packstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\粒泥灰岩\16ZL248m1-_part_3.png,Packstone,Intraclast
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\颗粒灰岩\15QM20 -2.5_part_2.png,Grainstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\颗粒灰岩\15QM20 -2.5_part_3.png,Grainstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\颗粒灰岩\15QM28 -2.5_part_3.png,Grainstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\颗粒灰岩\15QM48 -2.5_part_3.png,Grainstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\颗粒灰岩\15TY63 -2.5_part_1.png,Grainstone,Packstone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\颗粒灰岩\16AK66 -2.5_part_1.png,Grainstone,Wackestone
D:\deep-learning-for-image-processing-master\data_set\imagenet\val\颗粒灰岩\16BK97 -2.5_part_2.png,Grainstone,Wackestone
